# Encore clue bank — the LONG half. WORD|clue, one per line.
#
# Encore is the 9x9 weekday / 11x11 Sunday crossword, so it needs entry lengths
# the mini never used. This file carries 6, 8 and 9 letters; the 3, 4, 5 and 7
# letter entries come from scripts/emcee-wordbank.txt, which the generator reads
# alongside this one. Same hard rule as that file: EVERY CLUE IS HAND-WRITTEN
# AND CLUES ITS OWN ANSWER. Never generate a clue from a dictionary or WordNet
# gloss — a gloss defines a whole synonym set, so it reliably clues the wrong
# word, which is exactly the failure that forced the Emcee bank rebuild in
# August 2026. Everyday words only: no obscurities, no crosswordese.
#
# ── 6 letters ──────────────────────────────────────────────────────────────
ABSURD|Plainly ridiculous
COCOA|Hot chocolate
COLON|Punctuation pair of dots
COLOR|Red, say
COMET|Tailed sky visitor
COMIC|Funny one
CORAL|Reef builder
CORNY|Groan-worthy
COUCH|Living room seat
COUGH|Chest complaint
COULD|Was able to
COUNT|Tally up
COURT|Tennis surface
COVER|Book's front
COVET|Want what they have
CRACK|Split
CRAFT|Skilled making
CRAMP|Muscle seizure
CRANE|Building site lifter
CRANK|Handle to turn
CRASH|Collision
CRATE|Wooden box
CRAVE|Really want
CRAWL|Baby's move
CRAZE|The latest thing
CRAZY|Out of your mind
CREAK|Old floor's sound
CREAM|Coffee's white
CREED|What you believe
CREEK|Small stream
CREEP|Move slowly and quietly
CREPT|Moved quietly
CREST|Wave's top
CRIED|Wept
CRIME|Police matter
CRISP|Fresh and firm
CROOK|Bent staff, or a thief
CROSS|Annoyed, or an X
CROWD|Big group
CROWN|Royal headwear
CRUDE|Rough, or the oil
CRUEL|Unkind
CRUMB|Bread bit
CRUSH|Squash
CRUST|Pie's edge
CURED|Made well
CURLY|Not straight, of hair
CURRY|Spicy dish
CURSE|Bad word, or a hex
CURVE|Bend
CYCLE|Round of events
DAILY|Every day
DAIRY|Milk and cheese
DAISY|White petals, yellow center
DANCE|Move to music
DANDY|Just fine
DATED|Out of fashion
DEALT|Handed out the cards
DEATH|The end of life
DEBIT|Account's minus
DEBUT|First appearance
DECAY|Rot
DECOR|Room's look
DECOY|Fake to draw them off
DEFER|Put off
DEIGN|Condescend to
DELAY|Hold-up
DELTA|River's mouth
DEMON|Evil spirit
DENIM|Jeans fabric
DENSE|Thick
DEPTH|How deep
DERBY|Local rivalry match
DETER|Put them off
DEVIL|The other fellow
DIARY|Daily record
DIGIT|Number, or a finger
DIMLY|Faintly
DINER|Roadside eatery
DINGY|Drab and dark
DIRTY|Needing a wash
DISCO|Seventies dance floor
DITCH|Roadside trench
DIVER|One who goes down
DIZZY|Head spinning
DODGE|Duck out of the way
DOING|In the act of
DONOR|Blood giver
DOUBT|Not be sure
DOUGH|Bread's raw form
DOWRY|Bride's portion
DOZEN|Twelve
DRAFT|First version
DRAIN|Sink's outlet
DRAKE|Male duck
DRAMA|Serious play
DRANK|Downed it
DRAPE|Hang it over
DRAWL|Slow speech
DRAWN|Sketched
DREAD|Fear the worst
DREAM|Sleep's picture show
DRESS|Frock
DRIED|No longer wet
DRIFT|Float along
DRILL|Hole maker
DRINK|Beverage
DRIVE|Take the wheel
DROVE|Took the wheel
DROWN|Go under for good
DRUNK|Had too many
DRYER|Laundry machine
DUCHY|Duke's realm
DUMMY|Store mannequin
DUSTY|Needing a clean
DUTCH|Of the Netherlands
DWARF|Small one of seven
DWELL|Live at
DYING|On the way out
EAGER|Really keen
EAGLE|Bald national bird
EARLY|Before time
EARTH|Our planet
EASEL|Painter's stand
EATEN|Consumed
EBONY|Black wood
EDICT|Ruler's order
EDGES|Rims
EIGHT|Octopus's arm count
ELBOW|Arm's bend
ELDER|Older one
ELECT|Vote in
ELITE|The top few
EMPTY|Nothing in it
ENACT|Put into law
ENDED|Finished
ENEMY|The other side
ENJOY|Take pleasure in
ENSUE|Follow on
ENTER|Go in
ENTRY|Way in
EQUAL|The same as
EQUIP|Kit out
ERASE|Rub out
ERECT|Upright
ERROR|Mistake
ERUPT|Blow its top
ESSAY|School composition
ETHIC|Work
EVADE|Slip away from
EVENT|Happening
EVERY|Each one
EXACT|Precise
EXALT|Raise up high
EXCEL|Do it better than anyone
EXERT|Put in the effort
EXILE|Sent away for good
EXIST|Be
EXPEL|Throw out
EXTRA|One more
FABLE|Aesop's tale
FACET|One side of the gem
FAINT|Pass out
FAIRY|Tooth collector
FAITH|Belief
FALSE|Not true
FANCY|Elaborate
FARCE|Absolute joke
FATAL|Deadly
FATTY|Greasy
FAULT|Blame, or a crack in the earth
FAVOR|Do them one
FEAST|Big spread
FENCE|Yard divider
FERRY|Harbor boat
FETCH|Go and get
FEVER|High temperature
FEWER|Not as many
FIBER|Roughage
FIELD|Where the crops grow
FIEND|Wicked one
FIERY|Blazing
FIFTH|After fourth
FIFTY|Half a hundred
FIGHT|Scrap
FILET|Boneless cut
FILMY|Gauzy
FILTH|Real muck
FINAL|The last one
FINCH|Small seed-eating bird
FIRST|Number one
FLAIR|Natural knack
FLAKE|Snow bit
FLAME|Fire's tongue
FLANK|Side
FLARE|Distress signal
FLASH|Camera's burst
FLASK|Hip container
FLEET|Ships together
FLESH|Skin and muscle
FLICK|Quick snap of the finger
FLIER|Handbill
FLING|Toss, or a brief romance
FLINT|Spark stone
FLOAT|Stay on the surface
FLOCK|Birds together
FLOOD|Water everywhere
FLOOR|What you stand on
FLOUR|Baking basic
FLOWN|Gone by air
FLUID|Liquid
FLUKE|Lucky chance
FLUNG|Hurled
FLUSH|Poker hand, or go red
FLUTE|High woodwind
FOAMY|Frothy
FOCUS|Sharpen the view
FOGGY|Hard to see through
FOLLY|Foolishness
FORCE|Push
FORGE|Blacksmith's fire
FORGO|Do without
FORTH|Onward
FORTY|Twice twenty
FORUM|Place to debate
FOUND|Located
FOYER|Entrance hall
FRAIL|Weak and delicate
FRAME|Picture's border
FRANK|Straight-talking
FRAUD|Con
FREED|Let go
FRESH|Just picked
FRIAR|Robed brother
FRIED|Cooked in oil
FRONT|Not the back
FROST|Windshield's morning coat
FROTH|Cappuccino's top
FROWN|Smile's opposite
FROZE|Turned to ice
FRUIT|Apple or pear
FUDGE|Chocolate square
FUNNY|Good for a laugh
FUSSY|Hard to please
GAUGE|Measure it
GAUNT|Thin and hollow-cheeked
GAUZE|Wound dressing
GAVEL|Judge's hammer
GEESE|Honking flock
GENIE|Lamp dweller
GENRE|Type of book
GHOST|Sheet wearer
GIANT|Beanstalk dweller
GIDDY|Light-headed
GLADE|Woodland clearing
GLAND|Body's secretor
GLARE|Harsh light, or a hard look
GLASS|Window's pane
GLAZE|Doughnut's shine
GLEAM|Shine faintly
GLIDE|Move smoothly
GLINT|Brief flash
GLOBE|The world
GLOOM|Darkness and low spirits
GLORY|Great renown
GLOSS|Shine
GLOVE|Hand wear
GNOME|Garden figure
GOING|On the way
GOOSE|Honker
GORGE|Steep valley
GOURD|Pumpkin's kin
GRACE|Elegance
GRADE|School mark
GRAIN|Wheat kernel
GRAND|Very impressive
GRANT|Give, or funding
GRAPE|Wine fruit
GRAPH|Chart with axes
GRASP|Take hold of
GRASS|Lawn's cover
GRATE|Fireplace bars
GRAVE|Serious, or a burial plot
GRAZE|Cattle's meal
GREAT|Really good
GREED|Wanting too much
GREEN|Grass color
GREET|Say hello
GRIEF|Deep sorrow
GRILL|Barbecue
GRIME|Ingrained dirt
GRIND|Wear down
GRIPE|Complaint
GROAN|Sound of pain
GROIN|Where the leg meets
GROOM|Wedding's other star
GROSS|Before deductions
GROUP|Set of people
GROUT|Between the tiles
GROVE|Small wood
GROWL|Dog's warning
GROWN|Fully grown
GRUFF|Rough of voice
GRUNT|Pig's sound
GUARD|Watchman
GUESS|Take a stab
GUEST|Visitor
GUIDE|Show the way
GUILD|Craftsmen's association
GUILT|What the verdict found
GUISE|Outward appearance
GULLY|Water-cut channel
GUSTO|Real enthusiasm
HABIT|Hard to break
HAPPY|In good spirits
HARSH|Severe
HASTE|Hurry
HASTY|Rushed
HATCH|Egg's opening, or a deck opening
HAUNT|Regular spot, or spook
HAVEN|Safe place
HAVOC|Cry
HEARD|Listened to
HEART|Pump in the chest
HEAVE|Big lift
HEAVY|Weighty
HEDGE|Garden wall of green
HEFTY|Substantial
HEIST|Big robbery
HELLO|Greeting
HENCE|Therefore
HERON|Long-legged wader
HITCH|Snag, or a knot
HOARD|Squirrel it away
HOBBY|Spare time pursuit
HOIST|Haul up
HOLLY|Christmas green
HONEY|Bee's product
HONOR|Do the right thing by
HORDE|Great mass of them
HORSE|Stable dweller
HOTEL|Where you check in
HOUND|Tracking dog
HOUSE|Where you live
HOVER|Hang in the air
HUMAN|One of us
HUMID|Sticky weather
HUMOR|Sense of it
HURRY|Get a move on
HUSKY|Sled dog, or hoarse
HYENA|Laughing scavenger
ICING|Cake's top
IDEAL|Just perfect
IDIOM|Turn of phrase
IDIOT|Fool
IGLOO|Snow house
IMAGE|Picture
IMPLY|Hint at
INBOX|Where the mail lands
INDEX|Back of the book list
INEPT|Hopeless at it
INERT|Not reacting
INFER|Read between the lines
INGOT|Gold bar
INLET|Small bay
INNER|On the inside
INPUT|What goes in
INTRO|Opening bit
IRATE|Absolutely furious
IRONY|The opposite of what's said
ISSUE|Problem, or a magazine number
IVORY|Piano key material
JEANS|Denim wear
JELLY|Wobbly dessert
JEWEL|Precious stone
JOINT|Knee or elbow
JOKER|Wild card
JOLLY|Merry
JUDGE|One in the robe
JUICE|Orange drink
JUICY|Full of liquid
JUMBO|Extra large
JUMPY|On edge
KAYAK|Paddled one-seater
KNACK|Special skill
KNAVE|Playing card jack
KNEAD|Work the dough
KNEEL|Go down on one knee
KNELT|Went down on one knee
KNIFE|Cutting tool
KNOCK|Rap on the door
KNOWN|Familiar
KOALA|Eucalyptus muncher
LABEL|Jar's sticker
LABOR|Hard work
LADEN|Loaded down
LAPEL|Jacket's fold
LAPSE|Slip
LARGE|Big
LARVA|Grub stage
LASER|Focused beam
LASSO|Cowboy's rope
LATCH|Gate fastener
LATER|Afterwards
LAUGH|What the joke gets
LAYER|One of several
LEACH|Wash out of the soil
LEAFY|Full of green
LEAKY|Dripping
LEARN|Take it in
LEASE|Rental agreement
LEASH|Dog's lead
LEAST|The very smallest
LEAVE|Depart
LEDGE|Narrow shelf
LEECH|Blood-sucking worm
LEGAL|Within the law
LEMON|Sour citrus
LEVEL|Flat
LEVER|Pry bar
LIGHT|Not heavy, or a lamp
LIKED|Was fond of
LIMBO|Under the bar
LIMIT|The most allowed
LINEN|Bed cloth
LINER|Ocean ship
LINGO|Special jargon
LIVER|Body's filter
LIVID|Absolutely furious
LLAMA|Andean pack animal
LOBBY|Hotel's entrance
LOCAL|From round here
LODGE|Hunting cabin
LOGIC|Sound reasoning
LOOSE|Not tight
LORRY|British truck
LOSER|Not the winner
LOTUS|Water flower
LOUSE|Head pest
LOVER|Sweetheart
LOWER|Bring down
LOYAL|True to it
LUCID|Perfectly clear
LUCKY|Fortunate
LUNAR|Of the moon
LUNCH|Midday meal
LUNGE|Sudden thrust forward
LURID|Shockingly vivid
LYING|Not telling the truth
MACHO|Very manly
MAGIC|Rabbit-from-hat stuff
MAGMA|Molten rock
MAIZE|Corn
MAJOR|Important
MAKER|The one who built it
MANGO|Tropical stone fruit
MANIA|Craze
MANOR|Country house
MAPLE|Syrup tree
MARCH|Parade step
MARRY|Tie the knot
MARSH|Wetland
MASON|Bricklayer
MATCH|Game, or a light
MAXIM|Wise old saying
MAYBE|Perhaps
MAYOR|Town's leader
MEANS|The way to do it
MEDAL|Winner's disc
MEDIA|Press and TV
MEDIC|Field doctor
MELON|Summer fruit
MERCY|Clemency
MERGE|Come together
MERIT|Worth
MERRY|Cheerful
METAL|Iron or tin
METER|Parking timer
MIDST|In the
MIGHT|Strength, or maybe
MIMIC|Copy them exactly
MINCE|Chop very fine
MINER|One down the pit
MINOR|Not important
MINUS|Take away
MIRTH|Laughter
MISER|Tight-fisted one
MODEL|Fashion poser
MODEM|Internet box
MOIST|Slightly wet
MOLAR|Back tooth
MONEY|Cash
MONTH|Thirty days, roughly
MOODY|Up and down
MORAL|Story's lesson
MOTEL|Roadside stop
MOTIF|Repeated design
MOTOR|Engine
MOTTO|Guiding phrase
MOUND|Small hill
MOUNT|Climb up on
MOURN|Grieve
MOUSE|Cheese nibbler
MOUTH|Where the food goes
MOVED|Shifted
MOVIE|Film
MOWER|Lawn cutter
MUDDY|Boots after the field
MUMMY|Wrapped pharaoh
MURAL|Wall painting
MURKY|Hard to see through
MUSIC|What the band makes
MUSTY|Smelling of the attic
NAKED|With nothing on
NANNY|Child's minder
NASAL|Through the nose
NASTY|Really unpleasant
NAVAL|Of the fleet
NEEDY|Wanting attention
NERVE|Cheek, or a body fiber
NEVER|Not once
NEWLY|Just recently
NICHE|Little alcove
NIECE|Brother's daughter
NIGHT|When it's dark
NINTH|After eighth
NOBLE|High-minded
NOISE|Racket
NOISY|Loud
NORTH|Compass top
NOSEY|Too curious
NOTCH|Small cut
NOTED|Well known
NOVEL|Book, or brand new
NURSE|Ward carer
NYLON|Stocking material
OASIS|Desert water
OCCUR|Happen
OCEAN|Atlantic or Pacific
OFFER|Put forward
OFTEN|Frequently
OLDER|More advanced in years
OLIVE|Martini garnish
OMEGA|Greek's last
ONION|Crying cause
ONSET|The very start
OPERA|Sung drama
ORBIT|Path round the planet
ORDER|Put in sequence
ORGAN|Church's pipes
OTHER|The one not this
OTTER|River swimmer
OUGHT|Should
OUNCE|Sixteenth of a pound
OUTDO|Better them
OUTER|On the outside
OWNER|The one it belongs to
OZONE|Upper atmosphere layer
PADDY|Rice field
PAGAN|Pre-Christian believer
PAINT|Wall color
PANEL|Discussion group
PANIC|Sudden fright
PANSY|Garden face flower
PAPER|Newsprint
PARKA|Hooded coat
PARTY|Celebration
PASTA|Italian staple
PASTE|Glue
PASTY|Cornish pie
PATCH|Mend on a knee
PATIO|Back terrace
PAUSE|Take a moment
PEACE|No war
PEACH|Fuzzy fruit
PEARL|Oyster's gem
PEDAL|Bike's pusher
PENNY|Cent
PERCH|Bird's rest
PERIL|Great danger
PESTO|Basil sauce
PETAL|Flower's leaf
PETTY|Small-minded
PHASE|Stage of it
PHONE|Ring on it
PHOTO|Snapshot
PIANO|Eighty-eight keys
PIECE|Bit
PIETY|Devoutness
PILOT|One at the controls
PINCH|Salt's measure
PIVOT|Turn on the spot
PIZZA|Slice source
PLACE|Location
PLAID|Tartan
PLAIN|Simple
PLANE|Woodworker's tool, or a flier
PLANK|Board
PLANT|Put in the ground
PLATE|Dinner's dish
PLAZA|Public square
PLEAD|Beg
PLEAT|Skirt's fold
PLIED|Worked at it
PLUCK|Pick, or nerve
PLUMB|Dead vertical
PLUME|Feather
PLUMP|Nicely round
PLUSH|Luxurious
POACH|Cook in liquid, or take illegally
POINT|Sharp end
POLAR|Of the ice caps
POLIO|Vaccine's target
POLKA|Bouncy dance
PORCH|Front step cover
POSSE|Sheriff's group
POUCH|Kangaroo's pocket
POUND|Sixteen ounces
POWER|Electricity
PRANK|Practical joke
PRAWN|Big shrimp
PRESS|Push, or the papers
PRICE|What it costs
PRICK|Little jab
PRIDE|Lion group, or self-respect
PRIME|First rate
PRINT|Put on paper
PRIOR|Earlier
PRISM|Light splitter
PRIZE|What the winner takes
PROBE|Investigate
PRONE|Face down, or liable to
PRONG|Fork's point
PROOF|What settles it
PROSE|Not verse
PROUD|Pleased with it
PROVE|Show it true
PROWL|Move about hunting
PRUNE|Cut back, or a dried plum
PUFFY|Swollen up
PULSE|Wrist's beat
PUNCH|Fist blow, or party drink
PUPIL|Student
PUPPY|Young dog
PUREE|Blended smooth
PURGE|Clear it out
PURSE|Handbag
PUSHY|Too forward
QUACK|Duck's word
QUAIL|Game bird
QUAKE|Earth's shudder
QUALM|Twinge of doubt
QUART|Two pints
QUEEN|Crown wearer
QUERY|Question
QUEST|Search
QUEUE|Line up
QUICK|Fast
QUIET|Hush
QUILT|Bed cover
QUIRK|Odd little habit
QUITE|Rather
QUOTA|Allotted share
QUOTE|Cite the words
RABBI|Synagogue leader
RADAR|Blip screen
RADIO|Dial box
RAINY|Wet, of a day
RAISE|Lift up
RALLY|Come back, or a gathering
RANCH|Cattle spread
RANGE|Mountain chain, or a stove
RAPID|Very quick
RATIO|Two to one, say
RAZOR|Shaver
REACH|Stretch out for
REACT|Respond
READY|All set
REALM|Kingdom
REBEL|One who rises up
REBUS|Picture puzzle
RECAP|Sum it up again
REFER|Send them on to
REGAL|Fit for a king
REIGN|Rule
RELAX|Unwind
RELAY|Baton race
RELIC|Ancient survivor
REMIT|Scope of the job
REPAY|Pay it back
REPLY|Answer
RERUN|Repeat showing
RESET|Start over
RESIN|Tree's sticky sap
RETRY|Have another go
REVEL|Make merry
RHINO|Horned heavyweight
RHYME|Cat and hat, say
RIDER|Horseback traveler
RIDGE|Roof's top line
RIFLE|Long gun
RIGHT|Correct
RIGID|Won't bend
RINSE|Wash off
RIPEN|Come good on the vine
RISEN|Gone up
RISKY|Chancy
RIVAL|The competition
RIVER|It flows to the sea
ROAST|Sunday dinner
ROBIN|Red-breasted bird
ROBOT|Mechanical worker
ROCKY|Full of stones
ROGUE|Scoundrel
ROOMY|Plenty of space
ROOST|Where the hens sleep
ROTOR|Helicopter's blades
ROUGE|Cheek color
ROUGH|Not smooth
ROUND|Circular
ROUSE|Wake them up
ROUTE|Way to go
ROYAL|Of the crown
RUGBY|Oval-ball sport
RULER|Measuring stick
RUMOR|Word going round
RURAL|Of the countryside
RUSTY|Out of practice
SADLY|Unhappily
SAINT|Halo wearer
SALAD|Bowl of greens
SALON|Hair place
SALSA|Chip's dip
SALTY|Like the sea
SALVO|Volley of fire
SANDY|Beach-like
SASSY|Cheeky
SATIN|Glossy fabric
SAUCE|Gravy's cousin
SAUCY|A bit cheeky
SAUNA|Hot wooden room
SAVOR|Take your time over
SAVVY|Street smart
SCALE|Fish's plate, or weigh
SCALP|Head's top
SCANT|Barely any
SCARE|Fright
SCARF|Neck warmer
SCARY|Frightening
SCENE|Play's section
SCENT|Perfume
SCOFF|Sneer at
SCOLD|Tell off
SCONE|Cream tea bake
SCOOP|Ice cream server, or a story
SCOOT|Move along quickly
SCOPE|Room to work
SCORE|Twenty, or the tally
SCORN|Contempt
SCOUR|Scrub hard
SCOUT|Look ahead
SCOWL|Angry face
SCRAP|Bit left over
SCRUB|Wash hard
SCUBA|Diver's gear
SEDAN|Four-door car
SEIZE|Grab hold of
SENSE|Sight or hearing
SERVE|Wait on
SETUP|The arrangement
SEVEN|Lucky number
SEVER|Cut right through
SEWER|Underground drain
SHACK|Rough hut
SHADE|Under the tree
SHADY|Not quite honest
SHAFT|Mine's tunnel
SHAKE|Wobble
SHAKY|Unsteady
SHALE|Layered rock
SHALL|Will
SHAME|Sense of disgrace
SHANK|Lamb cut
SHAPE|Form
SHARD|Broken piece
SHARE|Divide it up
SHARK|Fin in the water
SHARP|Keen edge
SHAVE|Use the razor
SHAWL|Shoulder wrap
SHEAR|Clip the sheep
SHEEN|Soft gloss
SHEEP|Wool provider
SHEER|Absolutely total
SHEET|Bed linen
SHELF|Where the books go
SHELL|Beach find
SHIFT|Work stint
SHINE|Gleam
SHINY|Polished
SHIRT|Buttoned top
SHOCK|Nasty surprise
SHOOK|Wobbled
SHOOT|Fire, or a new sprout
SHONE|Gleamed
SHORE|Where the waves land
SHORN|Clipped
SHORT|Not tall
SHOUT|Yell
SHOVE|Push hard
SHOWN|Displayed
SHOWY|Very flashy
SHREW|Small pointed-nose mammal
SHRUB|Garden bush
SHRUG|Shoulders' gesture
SHUNT|Move it aside
SIEGE|Castle's long wait
SIGHT|Vision
SILKY|Smooth to the touch
SILLY|Foolish
SINCE|From then on
SINEW|Tough tissue
SIXTH|After fifth
SIXTY|Minutes in an hour
SKATE|Rink footwear
SKIER|Slope user
SKIFF|Small boat
SKILL|Ability
SKIRT|Below the waist
SKULL|Head's bone
SKUNK|Striped stinker
SLACK|Not taut
SLAIN|Killed
SLANG|Street talk
SLANT|Lean
SLASH|Big cut
SLATE|Roof tile
SLAVE|One in bondage
SLEEK|Smooth and glossy
SLEEP|Forty winks
SLEET|Half rain, half snow
SLEPT|Had a kip
SLICE|Cut piece
SLICK|Smooth, or an oil spill
SLIDE|Playground chute
SLIME|Nasty ooze
SLIMY|Slippery and nasty
SLING|Arm support
SLOPE|Hillside
SLOTH|Slow hanger
SLUMP|Downturn
SLUNG|Tossed
SLUSH|Melting snow
SMACK|Sharp slap
SMALL|Little
SMART|Clever
SMASH|Break to bits
SMEAR|Smudge
SMELL|Nose's job
SMILE|Grin
SMIRK|Smug little smile
SMITE|Strike down
SMOCK|Loose overshirt
SMOKE|Fire's plume
SMOKY|Full of haze
SNACK|Bite between meals
SNAIL|Slow shell carrier
SNAKE|Slitherer
SNARE|Trap, or a drum
SNARL|Dog's growl, or a tangle
SNEAK|Move unseen
SNEER|Look down on
SNIFF|Take a smell
SNIPE|Take potshots at
SNORE|Sleeper's sound
SNOUT|Pig's nose
SNOWY|Covered in white
SOAPY|Full of suds
SOBER|Not drunk
SOGGY|Wet through
SOLAR|Of the sun
SOLID|Not liquid
SOLVE|Work it out
SONIC|Of sound
SORRY|Apologetic
SOUND|What you hear
SOUTH|Compass bottom
SPACE|The final frontier
SPADE|Digging tool
SPARE|Extra
SPARK|Fire's start
SPASM|Sudden twitch
SPAWN|Fish's eggs
SPEAK|Talk
SPEAR|Thrown weapon
SPECK|Tiny spot
SPEED|How fast
SPELL|S-P-E-L-L
SPEND|Part with money
SPENT|Used up
SPICE|Rack item
SPICY|Hot on the tongue
SPIED|Caught sight of
SPIKE|Sharp point
SPILL|Knock the drink over
SPINE|Backbone
SPINY|Covered in prickles
SPIRE|Church's point
SPITE|Ill will
SPLIT|Divide
SPOIL|Ruin
SPOKE|Wheel's rod
SPOOK|Ghost
SPOOL|Thread holder
SPOON|Soup's utensil
SPORE|Fungus seed
SPORT|Game
SPOUT|Teapot's pourer
SPRAY|Fine mist
SPREE|Shopping binge
SPURN|Reject flatly
SPURT|Sudden burst
SQUAD|Small team
SQUAT|Crouch down
STACK|Pile
STAFF|Employees
STAGE|Where the play happens
STAID|Sober and settled
STAIN|Spill's mark
STAIR|One step
STAKE|Tent peg, or a bet
STALE|Not fresh
STALK|Plant's stem
STALL|Market booth
STAMP|Envelope's corner
STAND|Get up
STARE|Look hard
START|Begin
STASH|Hide it away
STATE|Fifty of them
STEAK|Grill cut
STEAL|Take unlawfully
STEAM|Kettle's cloud
STEED|Poetic horse
STEEL|Strong alloy
STEEP|Sharply sloped
STEER|Guide the wheel
STERN|Strict, or a ship's back
STICK|Twig
STIFF|Not bending
STILL|Motionless
STILT|Tall walker's pole
STING|Bee's weapon
STINK|Bad smell
STINT|Spell of work
STOCK|Shop's supply
STOKE|Feed the fire
STOLE|Took, or a shoulder wrap
STOMP|Heavy step
STONE|Rock
STOOD|Was on the feet
STOOL|Backless seat
STOOP|Bend forward
STORE|Shop
STORK|Baby deliverer, in stories
STORM|Thunder and rain
STORY|Tale
STOUT|Dark beer, or sturdy
STOVE|Cooker
STRAP|Watch band
STRAW|Sipping tube
STRAY|Wandering animal
STREW|Scatter about
STRIP|Take it off
STUCK|Not budging
STUDY|Hit the books
STUFF|Things
STUMP|Tree's remains
STUNG|Got the bee
STUNT|Daredevil act
STYLE|Way of doing it
SUEDE|Soft leather
SUGAR|Sweetener
SUING|Taking to court
SUITE|Hotel's best rooms
SUNNY|Bright out
SUPER|First rate
SURGE|Sudden rush
SUSHI|Raw fish dish
SWAMP|Bog
SWARM|Bees on the move
SWEAR|Take the oath
SWEAT|Brow's damp
SWEEP|Brush the floor
SWEET|Sugary
SWELL|Rise up
SWEPT|Brushed
SWIFT|Very quick
SWINE|Pigs
SWING|Playground seat
SWIRL|Whirl about
SWISS|Of the Alps
SWORD|Knight's blade
SWORE|Took the oath
SWORN|Under oath
SYRUP|Pancake topper
TABLE|Dining surface
TABOO|Not to be mentioned
TACIT|Understood without saying
TACKY|A bit cheap-looking
TAKEN|Grabbed
TALLY|Running count
TALON|Eagle's claw
TANGO|Two to
TAPER|Narrow to a point
TARDY|Late
TARTS|Little pies
TASTE|What the tongue does
TASTY|Delicious
TAUNT|Jeer at
TAWNY|Golden brown
TEACH|Instruct
TEARY|On the verge
TEASE|Rib gently
TEETH|Dentist's concern
TEMPO|Speed of the music
TENSE|Wound up
TENTH|After ninth
TEPID|Lukewarm
TERSE|Short and to the point
TESTY|Short-tempered
THANK|Say ta
THEFT|Stealing
THEIR|Belonging to them
THEME|Central idea
THERE|Over yonder
THESE|The near ones
THICK|Not thin
THIEF|Taker
THIGH|Above the knee
THING|Object
THINK|Use your head
THIRD|After second
THORN|Rose's prick
THOSE|The far ones
THREE|Trio
THREW|Pitched
THROB|Steady ache
THROW|Pitch
THUMB|Hand's short one
THUMP|Heavy thud
TIARA|Princess's headwear
TIDAL|Of the sea's rise
TIGER|Striped cat
TIGHT|Snug
TILED|Bathroom floored
TIMER|Kitchen's ticker
TIMID|Shy
TIPSY|A bit merry
TIRED|Ready for bed
TITLE|Book's name
TOAST|Buttered slice
TODAY|This very day
TOKEN|Arcade coin
TONAL|Of tone
TONIC|Gin's partner
TOOTH|Molar
TOPAZ|Yellow gem
TOPIC|Subject
TORCH|Flame carrier
TORSO|Trunk of the body
TOTAL|Sum
TOUCH|Feel
TOUGH|Hard going
TOWEL|Bath dryer
TOWER|Tall structure
TOXIC|Poisonous
TRACE|Faint mark
TRACK|Railway line
TRACT|Stretch of land
TRADE|Swap
TRAIL|Path
TRAIN|Rail transport
TRAIT|Characteristic
TRAMP|Wanderer
TRASH|Rubbish
TRAWL|Drag the net
TREAD|Step on
TREAT|Something nice
TREND|The way things go
TRIAL|Court case
TRIBE|Clan
TRICK|Sleight of hand
TRIED|Gave it a go
TRIPE|Nonsense
TROLL|Bridge dweller
TROOP|Soldiers' unit
TROUT|Stream fish
TRUCE|Ceasefire
TRUCK|Big rig
TRULY|Yours
TRUMP|Winning suit
TRUNK|Elephant's nose, or a tree's
TRUST|Have faith in
TRUTH|Not a lie
TUDOR|English royal house
TULIP|Dutch bloom
TUMMY|Belly
TUNIC|Long loose top
TURBO|Engine booster
TUTOR|Private teacher
TWANG|Guitar string's sound
TWEAK|Small adjustment
TWEED|Country jacket cloth
TWICE|Two times
TWIRL|Spin around
TWIST|Turn sharply
TYING|Doing up the laces
ULCER|Stomach sore
UNCLE|Aunt's husband
UNDER|Below
UNDID|Reversed it
UNFIT|Not up to it
UNION|Workers' body
UNITE|Come together
UNTIE|Undo the knot
UNTIL|Up to the time
UPPER|Higher one
UPSET|Put out
URBAN|Of the city
URGED|Pressed them to
USAGE|How it is used
USHER|Show to the seat
USUAL|The normal thing
